#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta       630.000       104.25623
CI  delta       631.000       103.76330
CI  delta       632.000       103.27262
CI  delta       633.000       102.78568
CI  delta       634.000       102.30173
CI  delta       635.000       101.82078
CI  delta       636.000       101.34281
CI  delta       637.000       100.86784
CI  delta       638.000       100.39511
CI  delta       639.000       99.926120
CI  delta       640.000       99.460123
CI  delta       641.000       98.996369
CI  delta       642.000       98.536356
CI  delta       643.000       98.078587
CI  delta       644.000       97.623809
CI  delta       645.000       97.172024
CI  delta       646.000       96.722482
CI  delta       647.000       96.275933
CI  delta       648.000       95.832375
CI  delta       649.000       95.391809
CI  delta       650.000       94.953488
CI  delta       651.000       94.518158
CI  delta       652.000       94.085072
CI  delta       653.000       93.654230
CI  delta       654.000       93.227129
CI  delta       655.000       92.801523
CI  delta       656.000       92.378909
CI  delta       657.000       91.960035
CI  delta       658.000       91.542657
CI  delta       659.000       91.127523
CI  delta       660.000       90.715381
CI  delta       661.000       90.304735
CI  delta       662.000       89.897081
CI  delta       663.000       89.493167
CI  delta       664.000       89.090000
CI  delta       665.000       88.690574
CI  delta       666.000       88.292644
CI  delta       667.000       87.896958
CI  delta       668.000       87.504263
CI  delta       669.000       87.113065
CI  delta       670.000       86.725607
CI  delta       671.000       86.338896
CI  delta       672.000       85.955178
CI  delta       673.000       85.573703
CI  delta       674.000       85.194473
CI  delta       675.000       84.817486
CI  delta       676.000       84.443492
CI  delta       677.000       84.070993
CI  delta       678.000       83.699990
CI  delta       679.000       83.331980
CI  delta       680.000       82.965465
CI  delta       681.000       82.601942
CI  delta       682.000       82.239915
CI  delta       683.000       81.880881
CI  delta       684.000       81.523342
CI  delta       685.000       81.167299
CI  delta       686.000       80.814248
CI  delta       687.000       80.462693
CI  delta       688.000       80.113382
CI  delta       689.000       79.766315
CI  delta       690.000       79.420744
CI  delta       691.000       79.077417
CI  delta       692.000       78.736334
CI  delta       693.000       78.396747
CI  delta       694.000       78.059404
CI  delta       695.000       77.723557
CI  delta       696.000       77.389954
CI  delta       697.000       77.058594
CI  delta       698.000       76.728731
CI  delta       699.000       76.401112
CI  delta       700.000       76.074989
CI  delta       701.000       75.750361
CI  delta       702.000       75.427978
CI  delta       703.000       75.107839
CI  delta       704.000       74.788447
CI  delta       705.000       74.472048
CI  delta       706.000       74.157144
CI  delta       707.000       73.843737
CI  delta       708.000       73.532573
CI  delta       709.000       73.222158
CI  delta       710.000       72.914734
CI  delta       711.000       72.607311
CI  delta       712.000       72.302879
CI  delta       713.000       72.000691
CI  delta       714.000       71.698504
CI  delta       715.000       71.399308
CI  delta       716.000       71.101608
CI  delta       717.000       70.804657
CI  delta       718.000       70.510697
CI  delta       719.000       70.218233
CI  delta       720.000       69.926517
CI  delta       721.000       69.636672
CI  delta       722.000       69.348322
CI  delta       723.000       69.061468
CI  delta       724.000       68.776484
CI  delta       725.000       68.493370
CI  delta       726.000       68.211378
CI  delta       727.000       67.931256
CI  delta       728.000       67.652256
CI  delta       729.000       67.375126
CI  delta       730.000       67.099492
CI  delta       731.000       66.824980
CI  delta       732.000       66.552338
CI  delta       733.000       66.281192
CI  delta       734.000       66.011168
CI  delta       735.000       65.743014
CI  delta       736.000       65.476356
CI  delta       737.000       65.210446
CI  delta       738.000       64.946779
CI  delta       739.000       64.683861
CI  delta       740.000       64.422813
CI  delta       741.000       64.163261
CI  delta       742.000       63.904456
CI  delta       743.000       63.647896
CI  delta       744.000       63.392084
CI  delta       745.000       63.137768
CI  delta       746.000       62.884947
CI  delta       747.000       62.633249
CI  delta       748.000       62.383046
CI  delta       749.000       62.134340
CI  delta       750.000       61.886756
CI  delta       751.000       61.640667
CI  delta       752.000       61.395701
CI  delta       753.000       61.151856
CI  delta       754.000       60.909882
CI  delta       755.000       60.668281
CI  delta       756.000       60.428551
CI  delta       757.000       60.190316
CI  delta       758.000       59.952830
CI  delta       759.000       59.716839
CI  delta       760.000       59.481970
CI  delta       761.000       59.248224
CI  delta       762.000       59.015973
CI  delta       763.000       58.785218
CI  delta       764.000       58.555212
CI  delta       765.000       58.326701
CI  delta       766.000       58.098938
CI  delta       767.000       57.872298
CI  delta       768.000       57.647153
CI  delta       769.000       57.423130
CI  delta       770.000       57.200603
CI  delta       771.000       56.978825
CI  delta       772.000       56.758168
CI  delta       773.000       56.538633
CI  delta       774.000       56.320220
CI  delta       775.000       56.103303
CI  delta       776.000       55.887134
CI  delta       777.000       55.672087
CI  delta       778.000       55.458536
CI  delta       779.000       55.245734
CI  delta       780.000       55.034053
CI  delta       781.000       54.823494
CI  delta       782.000       54.613683
CI  delta       783.000       54.405368
CI  delta       784.000       54.198175
CI  delta       785.000       53.991730
CI  delta       786.000       53.786407
CI  delta       787.000       53.581832
CI  delta       788.000       53.378753
CI  delta       789.000       53.176421
CI  delta       790.000       52.975586
CI  delta       791.000       52.775499
CI  delta       792.000       52.576160
CI  delta       793.000       52.378317
CI  delta       794.000       52.180848
CI  delta       795.000       51.984501
CI  delta       796.000       51.789650
CI  delta       797.000       51.595172
CI  delta       798.000       51.401817
CI  delta       799.000       51.209958
CI  delta       800.000       51.018473
CI  delta       801.000       50.828109
CI  delta       802.000       50.638868
CI  delta       803.000       50.450001
CI  delta       804.000       50.262630
CI  delta       805.000       50.076006
CI  delta       806.000       49.890131
CI  delta       807.000       49.705752
CI  delta       808.000       49.521746
CI  delta       809.000       49.338863
CI  delta       810.000       49.156728
CI  delta       811.000       48.975340
CI  delta       812.000       48.795075
CI  delta       813.000       48.615557
CI  delta       814.000       48.437162
CI  delta       815.000       48.259889
CI  delta       816.000       48.082989
CI  delta       817.000       47.907212
CI  delta       818.000       47.732182
CI  delta       819.000       47.557527
CI  delta       820.000       47.383993
CI  delta       821.000       47.211582
CI  delta       822.000       47.039918
CI  delta       823.000       46.869377
CI  delta       824.000       46.699583
CI  delta       825.000       46.530164
CI  delta       826.000       46.361866
CI  delta       827.000       46.193942
CI  delta       828.000       46.027141
CI  delta       829.000       45.861461
CI  delta       830.000       45.696156
CI  delta       831.000       45.531972
CI  delta       832.000       45.368162
CI  delta       833.000       45.205475
CI  delta       834.000       45.043535
CI  delta       835.000       44.881969
CI  delta       836.000       44.721900
CI  delta       837.000       44.561830
CI  delta       838.000       44.402882
CI  delta       839.000       44.245057
CI  delta       840.000       44.087231
CI  delta       841.000       43.930527
CI  delta       842.000       43.774571
CI  delta       843.000       43.619364
CI  delta       844.000       43.464904
CI  delta       845.000       43.311192
CI  delta       846.000       43.158228
CI  delta       847.000       43.005638
CI  delta       848.000       42.854171
CI  delta       849.000       42.703451
CI  delta       850.000       42.553105
CI  delta       851.000       42.403881
CI  delta       852.000       42.255031
CI  delta       853.000       42.106555
CI  delta       854.000       41.959202
CI  delta       855.000       41.812596
CI  delta       856.000       41.666364
CI  delta       857.000       41.521254
CI  delta       858.000       41.376518
CI  delta       859.000       41.232530
CI  delta       860.000       41.089290
CI  delta       861.000       40.946798
CI  delta       862.000       40.804680
CI  delta       863.000       40.662936
CI  delta       864.000       40.522314
CI  delta       865.000       40.382440
CI  delta       866.000       40.242940
CI  delta       867.000       40.104562
CI  delta       868.000       39.966184
CI  delta       869.000       39.828554
CI  delta       870.000       39.691672
CI  delta       871.000       39.555164
CI  delta       872.000       39.420152
CI  delta       873.000       39.284766
CI  delta       874.000       39.150502
CI  delta       875.000       39.016986
CI  delta       876.000       38.883470
CI  delta       877.000       38.751076
CI  delta       878.000       38.619056
CI  delta       879.000       38.487784
CI  delta       880.000       38.356886
CI  delta       881.000       38.226736
CI  delta       882.000       38.097333
CI  delta       883.000       37.967931
CI  delta       884.000       37.839651
CI  delta       885.000       37.711745
CI  delta       886.000       37.584587
CI  delta       887.000       37.458177
CI  delta       888.000       37.331766
CI  delta       889.000       37.206478
CI  delta       890.000       37.081190
CI  delta       891.000       36.956650
CI  delta       892.000       36.833232
CI  delta       893.000       36.709439
CI  delta       894.000       36.587143
